,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
0,Virgil van Dijk,nl NED,DF,33-258,29.0,29,2610.0,29.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,0.5,2.0,15.0,131.0,5.0,0.03,0.03,0.07,0.03,0.07,0.05,0.02,0.07,0.05,0.07
1,Mohamed Salah,eg EGY,FW,32-281,29.0,29,2568.0,28.5,27.0,17.0,44.0,18.0,9.0,9.0,1.0,0.0,22.0,15.0,11.2,26.2,122.0,110.0,364.0,0.95,0.6,1.54,0.63,1.23,0.77,0.39,1.16,0.52,0.92
2,Ryan Gravenberch,nl NED,MF,22-311,29.0,29,2471.0,27.5,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.9,0.9,2.8,3.7,54.0,138.0,44.0,0.0,0.07,0.07,0.0,0.07,0.03,0.1,0.13,0.03,0.13
3,Trent Alexander-Arnold,eng ENG,DF,26-167,28.0,26,2145.0,23.8,2.0,6.0,8.0,2.0,0.0,0.0,4.0,0.0,1.6,1.6,6.7,8.3,48.0,204.0,87.0,0.08,0.25,0.34,0.08,0.34,0.07,0.28,0.35,0.07,0.35
4,Alexis Mac Allister,ar ARG,MF,26-089,28.0,25,2111.0,23.5,3.0,3.0,6.0,3.0,0.0,0.0,6.0,0.0,2.3,2.3,3.6,5.9,30.0,146.0,61.0,0.13,0.13,0.26,0.13,0.26,0.1,0.15,0.25,0.1,0.25
5,Andrew Robertson,sct SCO,DF,31-012,27.0,24,2016.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.8,0.8,4.0,4.9,54.0,146.0,81.0,0.0,0.0,0.0,0.0,0.0,0.04,0.18,0.22,0.04,0.22
6,Dominik Szoboszlai,hu HUN,MF,24-149,27.0,22,1953.0,21.7,5.0,3.0,8.0,5.0,0.0,0.0,6.0,0.0,6.7,6.7,5.0,11.7,61.0,101.0,108.0,0.23,0.14,0.37,0.23,0.37,0.31,0.23,0.54,0.31,0.54
7,Ibrahima Konaté,fr FRA,DF,25-302,23.0,22,1894.0,21.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.1,1.1,0.9,2.0,18.0,87.0,2.0,0.05,0.1,0.14,0.05,0.14,0.05,0.04,0.09,0.05,0.09
8,Luis Díaz,co COL,FW,28-069,28.0,22,1850.0,20.6,9.0,4.0,13.0,9.0,0.0,0.0,2.0,0.0,7.6,7.6,3.4,11.0,84.0,83.0,213.0,0.44,0.19,0.63,0.44,0.63,0.37,0.17,0.53,0.37,0.53
9,Alisson,br BRA,GK,32-172,21.0,21,1878.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
10,Cody Gakpo,nl NED,FW,25-320,26.0,16,1411.0,15.7,8.0,3.0,11.0,8.0,0.0,0.0,4.0,0.0,6.0,6.0,3.5,9.4,38.0,44.0,212.0,0.51,0.19,0.7,0.51,0.7,0.38,0.22,0.6,0.38,0.6
11,Curtis Jones,eng ENG,"MF,FW",24-052,24.0,13,1167.0,13.0,3.0,3.0,6.0,3.0,0.0,0.0,3.0,1.0,4.0,4.0,0.9,4.9,14.0,65.0,55.0,0.23,0.23,0.46,0.23,0.46,0.31,0.07,0.38,0.31,0.38
12,Diogo Jota,pt POR,FW,28-109,18.0,10,844.0,9.4,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,6.1,6.1,1.7,7.8,31.0,23.0,67.0,0.53,0.32,0.85,0.53,0.85,0.65,0.19,0.84,0.65,0.84
13,Darwin Núñez,uy URU,FW,25-272,23.0,8,970.0,10.8,5.0,2.0,7.0,5.0,0.0,0.0,7.0,0.0,5.0,5.0,1.1,6.1,20.0,21.0,64.0,0.46,0.19,0.65,0.46,0.65,0.46,0.1,0.56,0.46,0.56
